朝阳公园酒仙桥南十里居小三居室，低楼层，仅有契税,342万,单价53944元/平米
华美橡树岭，南北两居室，精装修，诚心出售。,409万,单价44690元/平米
稻香园西里 中间楼层南向一居室 精装修拎包入住,448万,单价119819元/平米
兴城丽源此房满五年唯一，产权清晰，业主自住,329万,单价38715元/平米
满两年公房 中间楼层 精装修两居室,410万,单价58689元/平米
小南庄 航天院里 南北两居 中间楼层 公房 精装,608万,单价102651元/平米
安华里，东南3居室，满五唯一，看房方便，随时签约,630万,单价84090元/平米
新龙城南北通透三居室 带电梯 采光好,520万,单价47338元/平米
新康三期 2003年小区  三居  满五唯一 中间楼层不临街,410万,单价44962元/平米
低总价，朝东向，楼层高，视野好，东南二环边,310万,单价68117元/平米
上林苑 低楼层 满五年唯一 诚心出售 看房方便,358万,单价37964元/平米
满五年唯一 精装修 中间楼层 前后无遮挡 业主急售,520万,单价53881元/平米
南北朝向 中等装修两居室 满五年唯一有钥匙,430万,单价74979元/平米
马家堡 未来明珠 LOFT一居 看房方便,500万,单价66863元/平米
满五年 南北通透3居室 2006板楼 带租赁车位,535万,单价58643元/平米
南北通透两居室，全明格局，不临街，车位充足,535万,单价81930元/平米
满五年 业主家庭名下一套住房 正规一居室,240万,单价46004元/平米
牛街西里小区东南向一居，无遮挡，看房方便,490万,单价84092元/平米
广外 西城区 满五唯一 马连道 开间 精装修商品房,420万,单价95913元/平米
原值高    税费低业主诚心出售,295万,单价25043元/平米
富强西里 2室1厅 230万,230万,单价39479元/平米
满五年唯一商品房 地铁9号线六里桥东站,575万,单价69841元/平米
旧宫 清逸园 南北两居室 满五年 诚心出售,249万,单价36135元/平米
满五唯一住房，东南朝向，入住带装修，可随时签约。,620万,单价60031元/平米
铁东小区 2室1厅 498万,498万,单价83839元/平米
住欣家园东南2居室 交通便利 总价合适,290万,单价42084元/平米
满五年唯一公房，中间楼层，朝南采光好。,565万,单价141960元/平米
双南向两居室有客厅    大阳台高楼层采光好无遮挡,450万,单价72243元/平米
厂洼小区 中间层三居 满五年公房 业主诚心出售,688万,单价100000元/平米
低楼层+南北通透+采光好+房龄新1997年+地铁5/10号线,445万,单价73884元/平米
体育场路26号院 南北通透 两居室 中间楼层 采光好,169万,单价31442元/平米
二环精装修电梯房双南向无遮挡采光好,490万,单价84717元/平米
中南湾 2室1厅 495万,495万,单价49865元/平米
常秀家园 海淀两居室 看房方便 南北通透,370万,单价54573元/平米
荣丰四期精装大开间，产权清晰诚心出售随时看房。,475万,单价79352元/平米
公安局宿舍，里仁街号院南北通透两居室，满五唯一,560万,单价103877元/平米
福星花园南北朝向大两居，业主诚心出售，随时可签约。,439万,单价38614元/平米
嘉禾园 南北通透 大客厅 板楼2层 采光无遮挡,350万,单价63683元/平米
八角北路孔雀们 南北通透，采光好，满五年唯一,270万,单价47411元/平米
马家堡，角门西站，满五年电梯房，看房方便,330万,单价53098元/平米
满5唯一央产房，楼龄新，有正规客厅，厨卫面积大,485万,单价109063元/平米
太平桥小区南北通透两居 中间楼层,365万,单价64227元/平米
两居室全南向 、满五年唯一商品房、低层板楼带电梯,418万,单价57521元/平米
兴水家园 满五唯一 商品房 诚心出售,358万,单价34758元/平米
世嘉博苑 1室1厅 266万,266万,单价49907元/平米
店长推荐国际城一区位置好卫生间带窗满五唯一诚心出售,400万,单价44833元/平米
2008年新楼，南北三居，全明格局，满五唯一，2梯5户,865万,单价73083元/平米
后南仓小区 业主诚心出售 看房方便,253万,单价47334元/平米
铁东小区 带电梯2居 有钥匙看房随时,518万,单价86623元/平米
南向开间 户型方正 交通购物都方便,236万,单价57338元/平米
皂君庙 中间层 满五年唯一公房 南北通透两居室,530万,单价97786元/平米
马家堡 全南向两居室 客厅大阳台 满五年唯一产权清晰,650万,单价65248元/平米
满两年，位置安静，诚意卖，出行方便。,500万,单价54008元/平米
满五年唯一，5层，1990年，首付165万，南十里居,403万,单价57994元/平米
亚运村 安慧里一区 满五年公房 两卧朝南 随时签约,463万,单价73493元/平米
朝阳捷座 满五唯一 中间楼层 精装修,531万,单价63853元/平米
板楼低楼层，不临街，朝南一居室,263万,单价64795元/平米
万明园 2室1厅 795万,795万,单价116399元/平米
南北通透正规一居 精装修 满2年 看房方便,390万,单价62651元/平米
适合刚需，双卧朝南，精装修，看房随时,409万,单价41553元/平米
龙锦苑东一区 2室1厅 385万,385万,单价39095元/平米
此房南北通透，全明格局，中高楼层，通风好，采光充足,498万,单价55371元/平米
北店嘉园 钢筋混凝土 南北朝向,399万,单价51819元/平米
住欣家园 1室1厅 242万,242万,单价48919元/平米
板楼南北通透正规的一居室 满五年唯一 首套1%契税,255万,单价59650元/平米
满五年家庭名下就这一套房，精装修，眼镜户型,438万,单价36934元/平米
小区中间位置 玄关入户 眼镜户型双卫设计  高层观景,888万,单价94953元/平米
磨房南里  精装修 满五年  临近地铁,329万,单价58771元/平米
东南金角全明户型两居室 独立客厅,660万,单价104282元/平米
民岳家园东南大两居  视野开阔  无遮挡,455万,单价48580元/平米
北京香颂 3室2厅 1500万,1500万,单价83888元/平米
三环边儿富顿劲松地铁口低总价南向开间诚意出售,260万,单价66959元/平米
新东路 2室1厅 455万,455万,单价67729元/平米
新外大街乙8号院 2室1厅 1220万,1220万,单价156773元/平米
朝南向，正规一居室，低楼层，楼龄新,495万,单价135691元/平米
满五年税费少 精装修 西南朝向 中间楼层 有车位,658万,单价76521元/平米
华严北里中科院经典两居  1996年建成  改善急售,478万,单价79800元/平米
东城区 永定门 精装南向一居室,350万,单价82704元/平米
此房满五年唯一住宅，正南向，面对花园，视野宽阔,526万,单价60067元/平米
满五年唯一，只有契税，阳台大采光好，高楼层视野好,398万,单价58633元/平米
满五唯一商品房，婚房装修，西南三环，10号线首经贸,365万,单价54259元/平米
积水潭04年社区，70年住宅，看房方便，诚心出售,306万,单价81557元/平米
玉泉路 低总价 精装两居 中间层 满五唯一,309万,单价57286元/平米
低楼层 南北通透两居室 满五年 看房方便,448万,单价44414元/平米
一层带花园，不临街，满五年唯一，精装修，看房方便,1200万,单价81500元/平米
开阳里六区 4室2厅 890万,890万,单价53313元/平米
东城东北二环内 南北通透板楼小二居 业主诚意出售！,530万,单价113637元/平米
《店长推荐》满五唯一，一天没住过，户型方正,264万,单价30514元/平米
业主精装修，看房随时，满五唯一,290万,单价44878元/平米
南北通透，楼前无遮挡，不临街不把边，采光好,416万,单价42286元/平米
广华轩 3室1厅 1140万,1140万,单价83352元/平米
二里庄北里   板楼3层  南北通透3居室   满五年唯一,580万,单价79235元/平米
满五唯一，南向无遮挡，采光非常棒,360万,单价69298元/平米
龙泽苑东区 1室1厅 319万,319万,单价55239元/平米
万年花城四期 2室1厅 670万,670万,单价71361元/平米
东城区域 高层朝南带电梯，采光好，不临街,1230万,单价106957元/平米
鸿坤理想城大满贯 东南朝向 房本满五年,305万,单价44656元/平米
大方居全南向正规两居室  满五唯一商品房,369万,单价40249元/平米
和平家园南北通透一居室，满五唯一高楼层、业主诚售,280万,单价37675元/平米
东城区  李村南里 南北两居室 中间层 无遮挡,435万,单价71866元/平米
全明格局，功能性强，中楼层，无遮挡,660万,单价68105元/平米
高原街 正规南北两居室 诚意出售,466万,单价85317元/平米
赵公口 康泽园 东西向一居 满五唯一,290万,单价54645元/平米
南庭新苑北区 2室1厅 390万,390万,单价57152元/平米
东城区 二环内 一居室正规格局 公房满五年,415万,单价100533元/平米
南北通透 精装修 低楼层 临公园 业主诚售,653万,单价112007元/平米
西二区户型方正两居，商品房满五年，楼层好视野好！,365万,单价42701元/平米
2003年小区 满五年唯一 看房方便 价格能谈,715万,单价140169元/平米
南北通透 明厨明卫 采光好 满五唯一 近万寿路地铁,500万,单价78617元/平米
满五年家庭唯一住房 高层东向 业主诚心出售,379万,单价43876元/平米
应用文理学院，中高层，东南两居室，精装修,538万,单价92919元/平米
南三环贾家花园 双朝南两居，满5年中间层,276万,单价52273元/平米
人民日报社家属楼 格局方正 封闭管理 板楼带电梯,798万,单价90549元/平米
同馨家园 精装修自住 高楼层  满五唯一商品房,385万,单价50940元/平米
奥森公园 两梯两户 8号15号线交汇 南北通透 亚投行南,1610万,单价85561元/平米
西城 广外 低总价 满五唯一 商品房 精装修朝东没遮挡,345万,单价119089元/平米
中海御鑫阁 1室0厅 275万,275万,单价75426元/平米
南三环 格局方正 南北通透 使用率高 一梯两户,690万,单价60184元/平米
房本满五年，南北通透，双卧朝阳，诚意出售,318万,单价44167元/平米
马家堡 角门西 嘉园二里   有电梯 两居室 双轨交汇,335万,单价53902元/平米
南平里一层 正规客厅 南北通透,245万,单价39383元/平米
客厅朝南阳台带落地大飘窗 满五唯一 功能间都有窗户,592万,单价60576元/平米
壹线国际 全南向 大一居 落地窗无遮挡,430万,单价59731元/平米
劲松地铁 农光里 南北通透 2000年 电梯直达 一居室,315万,单价68658元/平米
精装西南一居室，高楼层，视野采光好。,565万,单价86181元/平米
小区中间位置 全明格局 满五唯一大三居,498万,单价39078元/平米
满五年唯一，精装修法式洋房，中间楼层，业主诚售。,565万,单价40243元/平米
京贸国际城东区 1室1厅 320万,320万,单价53800元/平米
精装一居室 安静不临街 视野开阔 观小区四万平米花园,460万,单价83319元/平米
九层板楼 南北通透  中间楼层  满五年 户型方正,1100万,单价64155元/平米
"南二环边方正3居室,有钥匙,诚心出售",472万,单价59446元/平米
此房是家庭名下唯一住房，配合转商首套首付175万,416万,单价50285元/平米
业主诚心出售 东南向采光好 没有遮挡,420万,单价55461元/平米
户型紧凑，带电梯，朝南楼层高采光好，价格可谈。,1368万,单价144916元/平米
通州北苑 万达 水月院 4层 两居产权满五年诚心出售,250万,单价41639元/平米
南三环刘家窑 精装两居室 南北通透 满五唯一 带电梯,395万,单价57313元/平米
首座二期 精装修 明厨 明卫、,328万,单价34458元/平米
晨月园 方正两居 中高层对园区 产权清晰 随时交易,836万,单价102188元/平米
两居 高层有电梯 满五一套公房,525万,单价93750元/平米
紫竹院 南北双阳台 正规客厅带东窗 楼龄新 户型好,660万,单价101586元/平米
朝阳产权 满五年公房，业主诚售,258万,单价36095元/平米
官园 富国里小区低楼层正规两居室 带正规客厅,980万,单价125642元/平米
远中悦莱东南向大三居 满两年原值高税费少,1100万,单价80829元/平米
中关村 南北通透两居室 低楼层,635万,单价109597元/平米
11月份房产证满五年，家庭唯一住房，视野开阔,359万,单价62403元/平米
高梁桥斜街乙40号院 2室1厅 575万,575万,单价91270元/平米
商满五唯一 精装 南北向 双卧朝南。,368万,单价41634元/平米
太阳园大两居室。户型方正，楼层高，采光好。,1020万,单价101868元/平米
商品房 满五年 唯一  南北通透 两居,429万,单价45795元/平米
北露园正规朝东一居，产权清晰，业主诚意出售,510万,单价126551元/平米
西南朝向大两居，客厅有阳台，采光好，动静分离,636万,单价82738元/平米
南北通透两居室 位置好，楼层好，采光好。,425万,单价45012元/平米
满五唯一，南北通透，诚心出售，随时看房,365万,单价51035元/平米
芍药居北里2008年新房东南两居，业主诚心出售,745万,单价78987元/平米
新龙城精装南北大两居 满五唯一,516万,单价51539元/平米
东城区  东向一居 商品房业主唯一住房  无遮挡,335万,单价75383元/平米
东城永铁苑 满五年唯一东南向二居 诚意出售看房方便,550万,单价71887元/平米
远洋一方润园6号院 1室1厅 269万,269万,单价49723元/平米
东南向两居、小区管理好、人文环境好,249万,单价46257元/平米
西三环 太平桥电梯一居室 近地铁 近公园,360万,单价73171元/平米
南北通透低楼层两居室，双卧室朝南,688万,单价81401元/平米
马甸南村，优质两居，  满五年唯一视野好，电梯直达。,790万,单价154599元/平米
温馨小户型 高楼层 采光充足 适合居家,380万,单价69255元/平米
万年花城正规一居室 精装修 诚心出售,358万,单价52478元/平米
雅宝公寓南北通透两居室，业主诚意出售。,1420万,单价101705元/平米
天通西苑一区 高楼层电梯三居室147.95平 商品房,546万,单价36905元/平米
灵通观 2室1厅 445万,445万,单价70647元/平米
新风北街 3室1厅 895万,895万,单价149666元/平米
双榆树东里 2室1厅 580万,580万,单价107607元/平米
东城区 和平里 小两居 南北朝向 业主诚心出售,540万,单价114529元/平米
精装中间楼层两居室，直接入住。,445万,单价46292元/平米
理想家园 1室1厅 140万,140万,单价27756元/平米
南北通透满五的已购公房，临近和平西桥,425万,单价78588元/平米
西黄新村北里 3室1厅 578万,578万,单价45728元/平米
西城区政府家属楼1998年楼龄新,920万,单价140244元/平米
南北两居，大客厅，楼层高视野好，无遮挡,1029万,单价107333元/平米
90年代南北三居，近地铁，格局方正,480万,单价62419元/平米
澳洲康都正规一居室+15年装修+高层看望京全景+给周期,550万,单价87081元/平米
商品房 南北双通透 落地大窗  无遮挡,421万,单价38145元/平米
满五唯一  业主自住精装修  南北向   有电梯中间层,483万,单价52949元/平米
南北向两居  公房性质  随时签约,435万,单价79380元/平米
小区环境好，满五年唯一，精装修，有正规客厅诚售,335万,单价61244元/平米
翠微东里南北通透全明格局两居室,580万,单价90063元/平米
国瑞城中区 4室2厅 1750万,1750万,单价93219元/平米
朝阳无限 全南 高层 满五年唯一  视野宽阔,669万,单价63709元/平米
六合园 2室1厅 310万,310万,单价46401元/平米
首城国际 西南向两居 满五年唯一 税少 自住好房,810万,单价98254元/平米
2006年商品房，满五唯一 随时签约 精装修,535万,单价59744元/平米
南北三居明厨明卫明厅 满五年唯一 近公园 采光好,710万,单价92872元/平米
回龙观低楼层精装修大两居，可以拎包入住，看房方便！,369万,单价46644元/平米
点击未来 1室0厅 278万,278万,单价62698元/平米
满五唯一，能转商，适合全款首套购买的客户,269万,单价49723元/平米
马家堡 西马金润 带电梯 全明格局,635万,单价60662元/平米
商品房 低楼层 前无遮挡 位置好,393万,单价49212元/平米
高家园四区 2室1厅 355万,355万,单价63427元/平米
满五唯一，配套齐全，交通便利，两部电梯，看房方便,306万,单价50412元/平米
中楼层，南北通透两居室，低总价。,380万,单价42421元/平米
正对小区花园，装修好格局规整好利用，业主变现急售,387万,单价60215元/平米
满五唯一公房 精装修 随时签约,870万,单价141234元/平米
望京 南湖渠西里 楼层好 南北通透小三居,410万,单价59181元/平米
马家堡 2004年小区 半人车分流 满五唯一,332万,单价53853元/平米
满五唯一，高楼层，视野开阔，拎包入住，诚心出售,405万,单价58654元/平米
阳光上东小两居 总价低 业主诚意出售,810万,单价87615元/平米
富力又一城精装两居，房子保持的很好，满五年唯一,435万,单价52901元/平米
南沙滩小区 1室1厅 355万,355万,单价73439元/平米
学院路西南朝向两居室，采光好无遮挡,630万,单价70787元/平米
塔院小区 南向全明一居室 中间楼层 满五公房,405万,单价98541元/平米
金台里南北通透中间楼层 户型方正格局好通风棒楼龄新,382万,单价64670元/平米
精装全南两居，商品房满两年税费少，,460万,单价52512元/平米
满五唯一商品房 带露台，明厨明卫，精装可拎包入住,418万,单价56794元/平米
精装修大开间 商品房2010年建成电梯房,167万,单价64108元/平米
沁春家园精装修南北向两居室采光无遮挡业主诚心出售,480万,单价62000元/平米
正规两居，诚心出售，户型方正，带电梯，满五年唯一,413万,单价47901元/平米
华威北里 3室1厅 412万,412万,单价58908元/平米
中苑，新上小户型两居室。采光好,400万,单价40291元/平米
满五唯一 装修好，两梯四户  板楼，观小区绿化！,570万,单价72152元/平米
商品房满五年唯一  南北通透  中间楼层  无抵押,590万,单价40216元/平米
低楼层满五年唯一南北通透两居室 看房便利业主诚售,434万,单价42190元/平米
精装修，南北通透三居室，带私家电梯，阳光充足,718万,单价82340元/平米
一层带南北双花园，南北通透两居室，安静采光没遮挡,1248万,单价107245元/平米
宏大北园南向两居室，户型方正，格局合理,375万,单价40030元/平米
房子南北通透H户型诚心出售 满五年节约成本,465万,单价52472元/平米
南三环  南北三居  业主换房急售,359万,单价49071元/平米
低楼层朝南一居采光好 低楼层 出行方便 诚意出售,470万,单价106408元/平米
产权满五年 位置安静 中高楼层采光视野开阔,930万,单价90626元/平米
融泽嘉园 南北向三居室 中间楼层 采光好,630万,单价60542元/平米
安慧里田字格两居室，满五年央产房，随时可看,538万,单价80120元/平米
商品房满五年家庭一套 次顶层南北通透 精装修诚心卖,489万,单价47270元/平米
低楼层、全明户型、满五年唯一住房，不临街,429万,单价42388元/平米
甜水园东里 双南向两居 明厨明卫,369万,单价65940元/平米
北礼士路，西向一居，中间楼层，楼龄新96年,550万,单价117522元/平米
石佛营西里小区 3室1厅 450万,450万,单价61442元/平米
陶然亭右安门内宣师西向高档装修两居室,915万,单价103355元/平米
东南向正规两居，楼层高，视野好,489万,单价71377元/平米
茂华景公阁 2室1厅 645万,645万,单价68515元/平米
房子是满五年，南北通透中间楼层,358万,单价62730元/平米
西三区带落地阳台2居，满五年唯一 中间楼层,350万,单价35562元/平米
丰台北大街南里精装修南北通透两居室,338万,单价68966元/平米
澳洲康都 东向精装 客厅带阳台 落地大窗,540万,单价83244元/平米
中间楼层，将装修，采光好 业主诚心出售,209万,单价44668元/平米
紫南家园 前后不临街，没遮挡，采光很好,440万,单价52727元/平米
2006年板楼电梯房 南北风对流 中层 满五年唯一,595万,单价64075元/平米
全南向 精装 中间层 一居 满五唯一,235万,单价49884元/平米
新上三居室，南北通透，精装修，1030万,1030万,单价75019元/平米
梨园 新城嘉园 两居室 全南向 采光充足 交通方便,370万,单价46600元/平米
海淀 五棵松 永定路 满五年公房税费少 玉泉 价格可谈,435万,单价71547元/平米
梧桐苑南北三局业主靠谱卖价格可议,520万,单价43868元/平米
诚意推荐：路劲世界城阳光一居室 拎包入住,250万,单价44508元/平米
客厅飘窗 商品房 满五年 北京一套 主体朝西,369万,单价39682元/平米
沿海赛洛城 东西通透一居室  房子满五年,388万,单价56717元/平米
华贸城   高楼层loft  满五年唯一,455万,单价88076元/平米
此房商品房满五年，业主在京家庭无其他住宅，南北通透,329万,单价56144元/平米
华威北里 近地铁 东西通透 明厅  采光好,418万,单价60862元/平米
阳光南里3居室 双阳台装修好 中间层无遮挡,469万,单价67599元/平米
满五年唯一 自住装修 中间楼层双地铁 诚售,468万,单价48099元/平米
紫金新干线一区，满五年家庭一套住房，南向开间,325万,单价70591元/平米
满五年唯一商品房 东南金角 高楼层景观好,330万,单价49093元/平米
满五年唯一住房 靠近东小口森林公园 中间楼层无遮挡,430万,单价48489元/平米
南平里 2室1厅 200万,200万,单价35119元/平米
地铁10号线西钓鱼台西侧 正规大客厅精装电梯三居,630万,单价75179元/平米
松榆西里 电梯楼一居室 满五年唯一 诚心出售,270万,单价59537元/平米
门头沟月季园 2室1厅 245万,245万,单价40164元/平米
有钥匙随时看房，总价低，单价低，随时签约,315万,单价53736元/平米
畅柳园 朝南向 电梯直达 正规两居 诚意出售,755万,单价114308元/平米
北三区 精装2居 商满五年唯一出售首付165万,385万,单价39659元/平米
北苑家园紫绶园 3室1厅 485万,485万,单价51026元/平米
华威北里 两居室 潘家地铁200米,321万,单价71350元/平米
中高楼层，南北通透，装修好，有2个车位，随时可看房,838万,单价59518元/平米
新兴年代 2室1厅 838万,838万,单价85984元/平米
满五公房，实用三居 格局合理，中高层 诚意出售,610万,单价73752元/平米
翠成馨园 南北通透两居 楼层好,540万,单价52448元/平米
京科苑南北通透两居室，建成2001年，精装修,285万,单价37241元/平米
正规三居 3层 带地下室 满五年唯一 随时签约,370万,单价38498元/平米
劲松潘家园二层南北通透全明格局三居,456万,单价60623元/平米
小区中间位置 正对人工湖喷泉 精装修 双卫生间,588万,单价57897元/平米
此房在高层，无遮挡，采光好，小区中间位置，安静。,425万,单价66490元/平米
车站西街15号院 2室1厅 528万,528万,单价91971元/平米
车站西街 2室1厅 528万,528万,单价91715元/平米
西三环北路56号院 1室1厅 380万,380万,单价94060元/平米
瑞雪春堂 满五唯一 南向开间 看房方便 靠谱出售,208万,单价36219元/平米
【单价低】【户型好】【楼龄新】【优质房源】,410万,单价47903元/平米
模式口南里 2室1厅 275万,275万,单价47785元/平米
全南一居室 满五年唯一 无遮挡,410万,单价94124元/平米
古城西路  1998年楼龄 低楼层 南北通透带客厅,350万,单价48911元/平米
满五公房，南北通透，中高层，采光足，配套设施齐全,360万,单价58461元/平米
华纺东区三期 南北通透大三居 小区中间位置 随时看房,899万,单价62202元/平米
西南向方正三居满五唯一公房中间楼层,381万,单价49616元/平米
石韵浩庭 1室1厅 515万,515万,单价87720元/平米
百万庄中里  满五年唯一公房 看房方便 随时签约,649万,单价114060元/平米
满5年 成本价公房 三居独立客厅 有钥匙随时可看,675万,单价82823元/平米
南北通透格局，采光充足，视野开阔,435万,单价47058元/平米
东三环双井精装两居小区四万平花园满五年唯一,760万,单价80671元/平米
满五年唯一住房，南北通透户型，采光好,299万,单价38027元/平米
公房采光好 南北通透 安静不临街 单独小院 全明格局,825万,单价141753元/平米
满五年唯一，低楼层，无遮挡，看房方便，诚心出售。,479万,单价73670元/平米
东城和平里七区  南北通透  中间层两居室,620万,单价102328元/平米
北京邮电大学院内，满五年，南北通透，低楼层户型好,640万,单价92486元/平米
东城 和平里两居室 业主已定房 精装,485万,单价108091元/平米
精装低总价两居室，配套齐全，交通便利,420万,单价77923元/平米
南北通透两居室，满五年公房，业主诚意出售,318万,单价49075元/平米
珠江绿洲，南北两居，高楼层满五年唯一，临河视野好,510万,单价50596元/平米
远洋天地正规大两居 满五唯一东南朝向,760万,单价64615元/平米
看房随时有钥匙，南北经典一居室诚意出售随时签约,660万,单价143479元/平米
二环外  落地飘窗  人车分流  前后双花园  居住舒适,640万,单价82709元/平米
育新花园 1室1厅 415万,415万,单价80427元/平米
美景东方二期 朝南 中楼层 不临街,860万,单价70210元/平米
青塔春园 南向一居室 户型方正 带阳台,283万,单价49493元/平米
满五唯一，产权清晰，低楼层，诚心出售,259万,单价31015元/平米
前半壁街 1室1厅 520万,520万,单价132316元/平米
【四环内】【南北通透】【满五年唯一】【随时签约】,305万,单价54368元/平米
荣丰二期东南向无遮挡 上下两层复式，税费仅契税,446万,单价127066元/平米
满五唯一  南北通透两居   明厅 采光充足   近地铁,266万,单价39015元/平米
三里屯，酒吧街，全南两居，明厨明卫，独立小院,445万,单价70501元/平米
期颐百年带电梯中间楼层，全南一居室,268万,单价46391元/平米
科大校园内一居 环境好 有电梯,335万,单价95715元/平米
松榆西里东院 南北通透全明格局 满五年只有这一套住房,445万,单价62125元/平米
小户型，交通便利，近地铁配套完善,295万,单价48038元/平米
外文局宿舍南向两居室 看房方便,575万,单价93649元/平米
垂杨柳西里，精装修，南北通透，诚心出售,268万,单价54817元/平米
商品房满五唯一，南北通透板楼户型，紧临地铁站,475万,单价54895元/平米
明光村小区 3室1厅 640万,640万,单价88155元/平米
高楼层 精装 满5年唯一 随时看房！诚意出售！,525万,单价57140元/平米
万寿路小两居  满五年  没占用,645万,单价111689元/平米
四环内 干部楼全南大两居 高楼层无遮挡 视野宽阔,655万,单价52250元/平米
中直、信访办社区管理，带电梯，南北通透无遮挡,1165万,单价150323元/平米
篱笆房地铁  满五唯一三居室，南北通透   看房方便,399万,单价44172元/平米
满五唯一 南北通透三居室 中间楼层,318万,单价34705元/平米
满五年，无遮挡，精装修，全明格局，南北双通透。,430万,单价40918元/平米
两个落地阳台，09年南北通透两居室，满五年无个税,608万,单价74648元/平米
3层，三居室，满五年唯一，看房方便，业主诚售！,325万,单价31879元/平米
南北通透 低总价 有钥匙随时看房,720万,单价50787元/平米
俯瞰南长河公园 带24小时电梯 客户方正带窗户,720万,单价97166元/平米
融景城 2室1厅 540万,540万,单价59452元/平米
10AM新坐标 1室0厅 304万,304万,单价64285元/平米
珠江拉维小镇 2室1厅 428万,428万,单价42766元/平米
德外南北两居　双阳台　低楼层　业主诚售　看房方便,739万,单价141571元/平米
复兴路30号院 2室2厅 542万,542万,单价89219元/平米
满五唯一商品房，小区优质南北通透两居室,545万,单价61953元/平米
精装三居室两厅两卫 小区人车分流 快4沿线,569万,单价40551元/平米
东城低总价两居室  看房方便，交通便利,461万,单价80188元/平米
此房格局好，前后无遮挡，南北通透落地窗，楼层低,360万,单价42057元/平米
西城区 红居斜街 1997年正规一居室 朝南中间楼层,480万,单价101523元/平米
房子在4层，格局方正。2个卫生间,380万,单价22060元/平米
宋家庄 政馨园 满五年唯一 全明格局,560万,单价49292元/平米
满五唯一  中高楼层  2梯6户  24小时门禁,520万,单价61619元/平米
右安门内西街1号院，朝南向1居室，中间楼层。,520万,单价104987元/平米
地铁10号线大红门正规一居朝南向商品房,289万,单价53588元/平米
